institution,doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
michigan,michigan.apis.770,42597,42597,o.mich;2;740,michigan.apis.770,Receipt of money tax,Receipt for payment of epistatikon by a Ptolli(--),Ist century B.C.,-50.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"In the 11th year, (has paid) Ptolli( ) son of Ptolli( ), for epistatikon, on Pharmouthi 1, 4 drachmai''.",True
michigan,michigan.apis.771,42584,42584,o.mich;2;733,michigan.apis.771,Receipt of money tax,Receipt for payment of some tax by a Ptollis,Ist century B.C.,-50.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"In the 12th year, (has paid) Ptollis son of Ankho( ), for s( ), on Mesore 12, 4 (drachmai).",True
michigan,michigan.apis.772,42627,42627,o.mich;2;758,michigan.apis.772,Receipt of money tax,Receipt for tax payment by a Pete(--),Ist century B.C./(early) Ist century A.D.,-50.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"In the 13th year, (has paid) Pete( ) son of Ekk( ), on Pharmouthi 20, 100.",True
michigan,michigan.apis.773,42644,42644,o.mich;2;768,michigan.apis.773,Receipt of money tax,Receipt for tax payment by a Peten(--),Ist century B.C./(early) Ist century A.D.,-50.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"[. . . (has paid)] Peten( ) son of Ekk( ), on Mesore 26, 120.",True
michigan,michigan.apis.774,25140,25140,o.mich;3;988,michigan.apis.774,Receipt for money tax,Receipt for payment of beer-tax(?) by a Pnepheros,Ist century A.D.,50.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,[- - -] Pnepheros(?) [- - -] beer-tax(?) on individuals [- - -],True
michigan,michigan.apis.775,43800,43800,o.mich;2;747,michigan.apis.775,Receipt of money tax,Receipt for payment of bath tax by a Herieus,(Late) Ist century B.C./(early) Ist century A.D.,-50.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"In the 12th year, (has paid) Herieus, for bath tax, on Mesore 30, 2000.",True
michigan,michigan.apis.776,42513,42513,o.mich;2;701,michigan.apis.776,Account or Receipt of Money,"Account of money, or tax receipt",Ist century B.C.,-50.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"2 lines of Demotic.;Mesore 12, 600'&apos",True
michigan,michigan.apis.777,42514,42514,o.mich;2;702,michigan.apis.777,Account or Receipt of Money,"Account of money, or tax receipt",Ist century B.C.,-50.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"1 line of Demotic.;Mesore 12, 400'&apos",True
michigan,michigan.apis.778,42523,42523,o.mich;2;710,michigan.apis.778,Receipt of money tax,Receipt for payment of syntaxis by a Petesouchos,Ist century B.C.,-50.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"In the eleventh year, (has paid) Petesouchos, for syntaxis, on Hathyr 14, 100; on the 14th, 80; on the 23rd, 80; on the 27th, 120.",True
michigan,michigan.apis.779,74978,74978,o.mich;3;999,michigan.apis.779,Receipt for money tax,Receipt for tax payment by a Pnepheros,Ist century B.C. /Ist century A.D.,-50.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"In the 19th year, (has paid) Pnepheros son of Psenebestis for the account [of - - -, - - -]. = 140.",True
michigan,michigan.apis.78,42501,42501,o.mich;1;89,michigan.apis.78,Account of cattle,Account of cattle,IVth century A.D.,349.0,Unknown,grc,Documentary; Ostracon,,"Account of cattle:;of white cattle, female: [- - -];of black cattle, male: [- - -];of [black] cattle, female: [- - -];of [white] cattle, male: [- - -];of [cattle] of the summer, male: [- - -];of [cattle of the winter(?)], male: [- - -]",True
michigan,michigan.apis.780,42813,42813,o.mich;2;934,michigan.apis.780,List of liturgical workers(?),List of persons,Latter half of the IIIrd century A.D.,275.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,,False
michigan,michigan.apis.781,42814,42814,o.mich;2;935,michigan.apis.781,List of liturgical workers(?),List of persons,(Late) IIIrd century A.D.,249.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,,False
michigan,michigan.apis.782,42836,42836,o.mich;2;957,michigan.apis.782,Name of individual (name tag),Name of individual,(Middle of the) IInd century A.D.,149.0,"probably Bacchias (or Karanis?), Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,,False
michigan,michigan.apis.783,42759,42759,o.mich;2;881,michigan.apis.783,Receipt for Transport of Grain,Receipt for transport of grain to an unknown harbor by Sabinus,"IIIrd century A.D. (January 15, 222 or 226 or 242[?])",249.0,"probably Karanis, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Documentary; Ostracon,,"Of the sitologoi of Karanis: of the crops of the 4th year, of Karanis, [3] sacks, 9 artabai of wheat, through Sabinus son of Innaros. In the fifth year, Tybi 20.",True
