doc_id,institution,date_year,date_text,genre,name,father,role,context
michigan.apis.1141,michigan,149.0,IInd century  A.D.,Documentary; Ostracon,Orsenouphis,Theabeinis,,"11th year, {21} on Mecheir 21. Has paid Orsenouphis son of Theabeinis, for the reckoning of the month of Tybi . . ., through Saraos son of Himeros, six obols, equal 6 obols, in full."
michigan.apis.1141,michigan,149.0,IInd century  A.D.,Documentary; Ostracon,Saraos,Himeros,,"ouphis son of Theabeinis, for the reckoning of the month of Tybi . . ., through Saraos son of Himeros, six obols, equal 6 obols, in full."
michigan.apis.1143,michigan,249.0,(Early) IIIrd century A.D. (June 30),Documentary; Ostracon,Charmos,Heron,,"On Epeiph 6, Charmos son of Heron has given (his part)."
michigan.apis.1145,michigan,349.0,(Early) IVth century A.D. (November 23/2,Documentary; Ostracon,Pateus,Kallonios,,"Of the granary of Karanis, has shifted Pateus son of Kallonios, for the 5th indiction, in the harbor of Leukogion, [[two]] 3 donkeys of barley, equal [[2]] 3 donkeys. On Hathyr 27."
michigan.apis.1147,michigan,249.0,(Late) IIIrd century A.D. (July 4),Documentary; Ostracon,Peeus,Petenas,,"On Epeiph 10: Peeus son of Petenas, 40 1/2 artabai of wheat."
michigan.apis.1150,michigan,,"August 19, 216[?] A.D.",Documentary; Ostracon,Peteesis,Chrysas,,"On the 24th year, on Mesore 26. At Kal( )(?) Peteesis son of Chrysas has given (his part)."
michigan.apis.1152,michigan,,"March 24, 302 A.D.",Documentary; Ostracon,Doulos,Aionis,,"erontios(?), of the crops of the 17th and 16th and [ninth] year, in the name of Doulos son of Aionis, 3 [donkeys]. [In the 18th and] 17th and 10th year, on Phamenoth 28."
michigan.apis.1155,michigan,249.0,IIIrd century A.D. (July 25),Documentary; Ostracon,Aphrodisis,Chairemon,,"In the 4th year, Mesore 1. Aphrodisis son of Chairemon has given (his part)."
michigan.apis.1167,michigan,,"September/October, 298 A.D.",Documentary; Ostracon,Ptolemaios,Iulianus,,"he village of Karanis, of the crops of the 13th, 12th, 5th year, in the name of Ptolemaios son of Iulianus, through Atisios, four donkeys. In the 15th and 14th and 7th year, on Phaophi [. . .]."
michigan.apis.1168,michigan,249.0,IIIrd century A.D. (March 19),Documentary; Ostracon,Heras,Heron,,"39th (cleruchy). Heras son of Heron, (2nd hand) on Phamenoth the twenty-third."
