accession_no,accounting_period,acquisition_history,alternative_years,ark_number,atf_source,atf_up,author,author_remarks,cdli_collation,cdli_comments,citation,collection,composite_id,condition_description,date_entered,date_of_origin,date_remarks,date_updated,dates_referenced,db_source,designation,dumb,dumb2,electronic_publication,elevation,excavation_no,external_id,findspot_remarks,findspot_square,genre,google_earth_collection,google_earth_provenience,height,id,id_text2,id_text,join_information,language,lineart_up,material,museum_no,object_preservation,object_type,period,period_remarks,photo_up,primary_publication,provenience,provenience_remarks,publication_date,publication_history,published_collation,seal_id,seal_information,stratigraphic_level,subgenre,subgenre_remarks,surface_preservation,text_remarks,thickness,translation_source,width,object_remarks
,,,,21198/zz001sf7xd,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 011",,,,,,,,,Letter,,,?,100343,0,250563,,Akkadian,,clay,MS 1892/15,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"CUSAS 34, 011",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001sf9tt,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 002",,,,,,,,,Letter,,,?,100344,0,250564,,Akkadian,,clay,MS 1892/16,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 002",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001sf9vb,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 004",,,,,,,,,Letter,,,?,100345,0,250565,,Akkadian,,clay,MS 1892/17,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 004",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001sf9wv,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 033",,,,,,,,,Legal,,,?,100346,0,250566,,Akkadian,,clay,MS 1892/18,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 033",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001sf9xc,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 015",,,,,,,,,Letter,,,?,100347,0,250567,,Akkadian,,clay,MS 1892/19,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 015",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001sf9zw,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 034",,,,,,,,,Legal,,,?,100348,0,250568,,Akkadian,,clay,MS 1892/20,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 034",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001smx0b,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 024",,,,,,,,,Legal,,,?,100349,0,250569,,Akkadian,,clay,MS 1892/21,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 024",uncertain (mod. uncertain),,2017,,,,,,sale of slave,,,,?,no translation,?,
,,,,21198/zz001smx1v,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 035",,,,,,,,,Legal,,,?,100350,0,250570,,Akkadian,,clay,MS 1892/22,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 035",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001smx2c,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 018",,,,,,,,,Letter,,,?,100351,0,250571,,Akkadian,,clay,MS 1892/23,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 018",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001smx3w,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 013",,,,,,,,,Letter,,,?,100352,0,250572,,Akkadian,,clay,MS 1892/24,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 013",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
